"在此工作表中创建甘特图。
在单元格 B1 中输入此项目的标题。
图例​​标题位于单元格 I1 中。
有关如何使用此工作表（包括屏幕阅读器的说明）以及此工作簿作者的信息包含在“关于”工作表中。
继续向下浏览 A 列，获取进一步指示。",2020S1,,,,,,,,,,,,,,,,,图例：,,大魁,,,,,zeta,,,,,盼盼,,,,,新铜,,,,,外部资源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"在单元格 B2 中输入公司名称。
图例位于单元格 I2 到 AC2 中。", 部门：标准化    主管：齐特佳,,,,,项目开始日期：,2019/12/30,,,,,,,滚动增量：,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"在单元格 B3 中输入项目负责人的姓名。在单元格 F3 中输入项目开始日期，或允许示例公式从“甘特数据”表中查找最小日期值。
项目开始日期：标签位于单元格 D3 中。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"滚动增量位于单元格 F4 中。
从单元格 I4 开始到单元格 BL4，显示第 5 行中日期的月份。
请勿修改这些单元格。它们根据单元格 F3 中的项目开始日期自动更新。",,,,,,,,,,,,,,,,,,12月,,,,,,,1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,2月,,,,,,,,,,,,,,,,,,,,
"单元格 I5 到 BL5 包含每个日期单元格上方单元格块中表示的“月”的当月日期数字，这些数字是自动计算得出的。
请勿修改这些单元格。
今天的日期带有红色（十六进制 #AD3815）轮廓（从第 5 行中显示今天日期的列及至项目安排结尾的该列）。",,,,,,,,,,,,,,,,,,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"滚动条位于单元格 I6 到 BL6 中。数据分页增量定义为一次 2 页，可以在控制栏的设置中配置该增量。
若要在时间线中向前或向后跳转，请在单元格 F4 中输入 0 或更大的值。
值为 0 会转到图表的开头。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"此行包含其后面的项目安排的标题。
从 B7 导航到 BL7 以听取内容。该标题上方日期一周中每一天的首字母，从单元格 I7 开始，直到单元格 BL7。
所有项目时间线制图都是根据“里程碑”表中输入的类别、开始日期和天数自动生成的。",里程碑说明,类别,责任人,进度,说明,计划开始日期,计划完成日期,计划人日,MS期限,冗余MS,可重叠任务,容许的最早开始时间,容许的最晚开始时间,实际开始日期,实际完成日期,实际人日,,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日
请勿删除此行。隐藏了此行，以保留用于突出显示项目安排中当天的公式。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O1-KR1-职位发布流程改版,KR,王硕,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,资源协调与需求沟通,产品,盼盼,0%,,,,0 ,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PN提供数据,研发,外部资源,0%,开发：晓旭,,,0 ,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
